v1	V(n004)	I(R2)
0.000000000000000e+000	9.483266e-009	1.386144e-002
1.000000000000000e-001	-9.999999e-002	1.299032e-002
2.000000000000000e-001	-2.000000e-001	1.214676e-002
3.000000000000000e-001	-3.000000e-001	1.133085e-002
4.000000000000000e-001	-4.000000e-001	1.054267e-002
5.000000000000000e-001	-5.000000e-001	9.782304e-003
6.000000000000000e-001	-6.000000e-001	9.049833e-003
7.000000000000000e-001	-7.000000e-001	8.345337e-003
7.999999999999999e-001	-8.000000e-001	7.668891e-003
8.999999999999999e-001	-9.000000e-001	7.020571e-003
9.999999999999999e-001	-1.000000e+000	6.400451e-003
1.100000000000000e+000	-1.100000e+000	5.808600e-003
1.200000000000000e+000	-1.200000e+000	5.245089e-003
1.300000000000000e+000	-1.300000e+000	4.709984e-003
1.400000000000000e+000	-1.400000e+000	4.203351e-003
1.500000000000000e+000	-1.500000e+000	3.725254e-003
1.600000000000000e+000	-1.600000e+000	3.275752e-003
1.700000000000000e+000	-1.700000e+000	2.854905e-003
1.800000000000001e+000	-1.800000e+000	2.462771e-003
1.900000000000001e+000	-1.900000e+000	2.099405e-003
2.000000000000000e+000	-2.000000e+000	1.764858e-003
2.100000000000001e+000	-2.100000e+000	1.459183e-003
2.200000000000001e+000	-2.200000e+000	1.182428e-003
2.300000000000001e+000	-2.300000e+000	9.346393e-004
2.400000000000001e+000	-2.400000e+000	7.158615e-004
2.500000000000001e+000	-2.500000e+000	5.261369e-004
2.600000000000001e+000	-2.600000e+000	3.655057e-004
2.700000000000001e+000	-2.700000e+000	2.340057e-004
2.800000000000001e+000	-2.800000e+000	1.316727e-004
2.900000000000001e+000	-2.900000e+000	5.854022e-005
3.000000000000001e+000	-3.000000e+000	1.463964e-005
3.100000000000001e+000	-3.100000e+000	1.397467e-011
3.200000000000002e+000	-3.200000e+000	1.407558e-011
3.300000000000002e+000	-3.300000e+000	1.417868e-011
3.400000000000002e+000	-3.400000e+000	1.428177e-011
3.500000000000002e+000	-3.500000e+000	1.438264e-011
3.600000000000002e+000	-3.600000e+000	1.448567e-011
3.700000000000002e+000	-3.700000e+000	1.458649e-011
3.800000000000002e+000	-3.800000e+000	1.468948e-011
3.900000000000002e+000	-3.900000e+000	1.479023e-011
4.000000000000002e+000	-4.000000e+000	1.489319e-011
4.100000000000001e+000	-4.100000e+000	1.499613e-011
4.200000000000001e+000	-4.200000e+000	1.509686e-011
4.300000000000001e+000	-4.300000e+000	1.519978e-011
4.400000000000000e+000	-4.400000e+000	1.530269e-011
4.500000000000000e+000	-4.500000e+000	1.540333e-011
4.600000000000000e+000	-4.600000e+000	1.550620e-011
4.699999999999999e+000	-4.700000e+000	1.560682e-011
4.799999999999999e+000	-4.800000e+000	1.570965e-011
4.899999999999999e+000	-4.900000e+000	1.581248e-011
5.000000000000000e+000	-5.000000e+000	1.591303e-011
